"","eco_id","Ncells","plants","mamph","mbirds","mmamm","NPP_mean","NPP_cv_inter","Feat_mean","Feat_cv_inter","area_km2","biome","flor_realms","x","y","biome_FR","plants_log","mamph_log","mbirds_log","mmamm_log","NPP_log_sc","Feat_log_sc","area_km2_log_sc","NPP_cv_sc","Feat_cv_sc"
"326",60126,16,2500,78.9375,550.625,167.875,764.248035261505,0.0642681673572197,0.00918785624045854,1.12983903476462,9881,"Trop/Subtrop Moist","Neotropics",-53.0997457986209,-1.93590769705041,"NT:Trop/Subtrop Moist",7.82404601085629,4.36865640011071,6.31105399669044,5.1232196548434,0.664302239125554,0.346195259316675,-1.48213375581797,-0.486467942964387,-0.906839855191059
"327",60128,129,3200,106.100775193798,552.953488372093,186.759689922481,928.196197321443,0.0618931264487415,0.0139325361184499,1.43263228403655,114506,"Trop/Subtrop Moist","Neotropics",-74.5531776314777,-5.33896573734449,"NT:Trop/Subtrop Moist",8.07090608878782,4.66438935184959,6.31527389015884,5.22982270980194,0.915391734237072,0.532681889935264,0.220148035865728,-0.541727843691905,-0.577252891575405
"328",60129,79,8000,45.0253164556962,390.607594936709,136.632911392405,780.338902558747,0.0665009385547539,0.00406148883967497,1.62033572641165,58359,"Trop/Subtrop Moist","Neotropics",-82.4708554390016,10.1955085532845,"NT:Trop/Subtrop Moist",8.98719682066197,3.80722491948143,5.96770346253595,4.91729785071157,0.691221005134545,-0.0194521949387394,-0.248160051824714,-0.434518221053259,-0.372939856917703
"329",60130,35,6500,28.2857142857143,358.457142857143,132.257142857143,696.193929039446,0.0835628989737701,0.00559658586693579,1.21884597397119,29176,"Trop/Subtrop Moist","Neotropics",-82.0307276072249,8.42369159403856,"NT:Trop/Subtrop Moist",8.77955745588373,3.34235688163922,5.88180910716727,4.88474807954186,0.543810572829741,0.124152409413403,-0.729845568907216,-0.0375388529901803,-0.809956827236
"330",60132,395,8000,75.1670886075949,444.359493670886,169.506329113924,871.005531456151,0.0542314426137577,0.000784912703174273,2.30859776155854,268444,"Trop/Subtrop Moist","Neotropics",-65.7266624933867,-0.830626607570638,"NT:Trop/Subtrop Moist",8.98719682066197,4.31971348366368,6.09663390525587,5.13289026602854,0.833231065151226,-0.755703880169333,0.812132445063345,-0.719991673428673,0.376225439473272
"331",60133,316,5000,98.376582278481,515.642405063291,177.642405063291,913.57430565254,0.0556238570716841,0.000428710278803238,2.53464324580309,241493,"Trop/Subtrop Moist","Neotropics",-66.2456203708295,-5.25402717534622,"NT:Trop/Subtrop Moist",8.51719319141624,4.5888027907605,6.24541351179351,5.17977256930597,0.894877773791124,-1.02659865010879,0.738620791447437,-0.687594469472354,0.622273345000655
"332",60135,939,6000,82.1512247071353,497.492012779553,149.439829605964,994.838218053182,0.0490144568591131,0.053941588665786,1.67052386176033,716682,"Trop/Subtrop Moist","Neotropics",-60.3743196837087,-8.88625959257858,"NT:Trop/Subtrop Moist",8.69951474821019,4.40856175255396,6.2095795017553,5.00689383426283,1.00497097681342,1.13901261632884,1.49442400282237,-0.84137489418475,-0.318310649764386
"333",60136,136,5500,18.3970588235294,374.5,154.566176470588,788.468503941508,0.0669614084216178,0.00319224046616323,1.33528973103599,104598,"Trop/Subtrop Moist","Neotropics",-74.4923270801374,5.54689380900237,"NT:Trop/Subtrop Moist",8.61250337122056,2.9121908052908,5.92559180295727,5.04062233130259,0.704610859344376,-0.127321939964459,0.157266237284737,-0.423804502801049,-0.683209139117893
"334",60137,103,4500,25.621359223301,402.26213592233,148.271844660194,896.089669461024,0.0662657497749999,0.00590292201595178,0.993015649532128,76440,"Trop/Subtrop Moist","Neotropics",-74.8961149750831,8.26065068262679,"NT:Trop/Subtrop Moist",8.41183267575841,3.24342634827369,5.9971039555164,4.99904737717595,0.869912029719523,0.148022108294477,-0.0606373542402345,-0.439990340954452,-1.05577053379378
"335",60138,102,3500,65.0204081632653,481.656862745098,149.009803921569,921.635276824943,0.0619823188621157,0.0142918847894167,1.39306553131984,88305,"Trop/Subtrop Moist","Neotropics",-50.2193689259913,-0.976026169126434,"NT:Trop/Subtrop Moist",8.1605182474775,4.17470119235937,6.17723195750885,5.00401210191219,0.906227276512098,0.544088055087281,0.0396164937167491,-0.539652610422822,-0.62032084609351
"336",60139,184,3200,32.4184782608696,304.141304347826,115.635869565217,984.097760103933,0.0560306849636434,0.0309265694856215,1.05702940379764,141635,"Trop/Subtrop Moist","Neotropics",-43.7293569589564,-4.29743225857876,"NT:Trop/Subtrop Moist",8.07090608878782,3.47872857692303,5.71749241034593,4.75044619846473,0.990947113839585,0.889843966789126,0.367881728919679,-0.678128835073128,-0.986092299722387
"337",60140,551,4000,50.3593466424682,404.284936479129,126.693284936479,1020.4586694761,0.0535485889313031,0.110751743425829,1.40291729166132,412314,"Trop/Subtrop Moist","Neotropics",-54.8660982840316,-10.8731765034635,"NT:Trop/Subtrop Moist",8.29404964010203,3.91918423535228,6.0021199176769,4.84176908621048,1.03782159015145,1.46123760113681,1.11030308417475,-0.735879579430274,-0.609597318455347
